name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Escape from New York,R,Action,1981,"July 10, 1981",0.7162162162162161,0.054569545805876335,John Carpenter,John Carpenter,Kurt Russell,United States,0.016845647575681817,0.008866222988747596,AVCO Embassy Pictures,0.11881188118811883
The Evil Dead,NC-17,Horror,1981,"April 15, 1983",0.7567567567567567,0.07998658313767076,Sam Raimi,Sam Raimi,Bruce Campbell,United States,0.0009747273151178241,0.0010383089870214068,Renaissance Pictures,0.07260726072607263
Porky's,R,Comedy,1981,"March 19, 1982",0.581081081081081,0.01665232617975679,Bob Clark,Bob Clark,Dan Monahan,Canada,0.007014104051438636,0.039086671170382586,Astral Bellevue Pathé,0.1023102310231023
Blow Out,R,Crime,1981,"July 24, 1981",0.7432432432432432,0.019569035381765985,Brian De Palma,Brian De Palma,John Travolta,United States,0.05055379680165844,0.004214490580278628,Filmways Pictures,0.1485148514851485
Clash of the Titans,PG,Action,1981,"June 12, 1981",0.6756756756756757,0.01748567166604513,Desmond Davis,Beverley Cross,Laurence Olivier,United Kingdom,0.042126759495164284,0.014432198879132004,Charles H. Schneer Productions,0.18151815181518152
Excalibur,R,Adventure,1981,"April 10, 1981",0.7432432432432432,0.024569108299496035,John Boorman,Thomas Malory,Nigel Terry,United Kingdom,0.030890709753172076,0.012282334684789259,Cinema '84,0.2541254125412541
Mad Max 2,R,Action,1981,"May 21, 1982",0.7702702702702701,0.070819782788499,George Miller,Terry Hayes,Mel Gibson,Australia,0.00841861026918766,0.008312615376801735,Kennedy Miller Productions,0.10891089108910892
Stripes,R,Comedy,1981,"June 26, 1981",0.6756756756756757,0.028319162987793575,Ivan Reitman,Len Blum,Bill Murray,United States,0.028081697317674025,0.029957613137574692,Columbia Pictures,0.14191419141914194
Possession,R,Drama,1981,"October 28, 1983",0.7432432432432432,0.011235580518882567,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,France,0.10031968594957656,0.0003909844957001806,Gaumont,0.20132013201320134
The Cannonball Run,PG,Action,1981,"June 19, 1981",0.581081081081081,0.014152289720891763,Hal Needham,Brock Yates,Burt Reynolds,United States,0.05055379680165844,0.025350557235714465,Golden Harvest Company,0.10561056105610564
Thief,R,Action,1981,"March 27, 1981",0.7432432432432432,0.011235580518882567,Michael Mann,Frank Hohimer,James Caan,United States,0.01544114135793279,0.004036393914631105,Mann/Caan Productions,0.19801980198019806
