name,rating,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,release_month,release_quarter,is_sequel
Brooklyn,6,2015,2015-11-25,0.7567567567567567,0.056236236778453,John Crowley,Nick Hornby,Saoirse Ronan,0.1066807499339846,0.030890709753172,0.0219165636980983,0.0002640612622128,0.1782178217821782,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11,4,0
"Crna macka, beli macor",8,1998,1998-06-01,0.8378378378378377,0.0216523990974868,Emir Kusturica,Gordan Mihic,Bajram Severdzan,0.0002640612622128,0.1003196859495765,0.0001233254917462,0.0011882756799577,0.2112211221122112,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6,2,0
Link,8,1986,1986-09-19,0.5405405405405405,0.0011521001347936,Richard Franklin,Lee David Zlotoff,Terence Stamp,0.1066807499339846,0.1003196859495765,0.0006041420600956,0.0002640612622128,0.132013201320132,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9,3,0
"I Love You, Man",8,2009,2009-03-20,0.6891891891891891,0.0820699468533916,John Hamburg,John Hamburg,Paul Rudd,0.7190388170055453,0.1123520703826155,0.0323049197098956,0.0100343279640876,0.1386138613861386,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,0
Evil Dead II,8,1987,1987-03-13,0.7837837837837839,0.0633196734119039,Sam Raimi,Sam Raimi,Bruce Campbell,0.7190388170055453,0.0101040177304864,0.0020804276204182,0.0003960918933192,0.0693069306930693,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,1
Alien 3,8,1992,1992-05-22,0.6216216216216215,0.1183204755069344,David Fincher,Dan O'Bannon,Sigourney Weaver,0.7190388170055453,0.1404421947375961,0.0561293948431979,0.03168735146554,0.1683168316831683,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,2,1
Basic,8,2003,2003-03-28,0.6216216216216215,0.0254024537857843,John McTiernan,James Vanderbilt,John Travolta,0.0150514919461315,0.1404421947375961,0.0150293489193104,0.0009242144177449,0.1155115511551155,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,0
"The Cook, the Thief, His Wife & Her Lover",11,1989,1990-04-06,0.7702702702702702,0.0149856352071801,Peter Greenaway,Peter Greenaway,Richard Bohringer,0.001584367573277,0.1003196859495765,0.0027129346349318,0.0002640612622128,0.2013201320132013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4,2,0
I Know What You Did Last Summer,8,1997,1997-10-17,0.5135135135135135,0.0566529095215971,Jim Gillespie,Lois Duncan,Jennifer Love Hewitt,0.7190388170055453,0.0477447843661603,0.0441078254830912,0.0010562450488513,0.1254125412541254,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10,4,0
Manchester by the Sea,8,2016,2016-12-16,0.7972972972972973,0.1070703114420418,Kenneth Lonergan,Kenneth Lonergan,Casey Affleck,0.7190388170055453,0.0252726848821759,0.0277418396375427,0.0014523369421705,0.2442244224422442,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12,4,0
Hotel for Dogs,2,2007,2009-01-16,0.472972972972973,0.0091522168031617,Thor Freudenthal,Jeff Lowell,Emma Roberts,0.0150514919461315,0.0983070082051253,0.0411809423439983,0.0100343279640876,0.1221122112211221,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0
Junior,6,1994,1994-11-23,0.3648648648648648,0.0274858175015052,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,0.7190388170055453,0.1685323190925766,0.0380827824630449,0.049775547927119,0.1518151815181518,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,11,4,0
A Hologram for the King,8,2016,2016-04-28,0.5675675675675674,0.0174856716660451,Tom Tykwer,Dave Eggers,Tom Hanks,0.1066807499339846,0.084261946027635,0.0032203744746185,0.0005281225244256,0.1155115511551155,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,0
Closer,8,2004,2004-12-03,0.7162162162162162,0.0862366742848333,Mike Nichols,Patrick Marber,Natalie Portman,0.7190388170055453,0.0758349087211409,0.0405671734371109,0.0438341695273303,0.1353135313531353,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12,4,0
The Osterman Weekend,8,1983,1983-11-04,0.5405405405405405,0.0034021329477721,Sam Peckinpah,Robert Ludlum,Rutger Hauer,0.7190388170055453,0.0182501537934308,0.0022781622106011,0.0001320306311064,0.132013201320132,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,4,0
Duets,8,2000,2000-09-15,0.5675675675675674,0.0038188056909163,Bruce Paltrow,John Byrum,Huey Lewis,0.7190388170055453,0.0589808341081525,0.002325030308745,0.0064695009242144,0.1617161716171617,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9,3,0
